Rk,Player,Tm,Age,Pos,GP,GS,D_Int,D_Int_Yds,D_Int_TD,D_Int_Lng,D_Int_PD,FF,Fmb,FR,F_Yds,F_TD,Sk,Tackles_Comb,Tackles_Solo,Tackles_Ast,TFL,QBHits,Sfty,-9999
1,Foyesade Oluokun,JAX,27,LB,17,17,0,0,0,0,5,2,0,2,0,0,2,184,128,56,12,9,,OluoFo00
2,Nick Bolton,KAN,22,LB,17,17,2,15,0,15,3,1,0,0,0,0,2,180,108,72,9,6,,BoltNi00
3,Jordyn Brooks,SEA,25,LB,16,16,0,0,0,0,5,1,0,1,3,0,1,161,103,58,3,3,,BrooJo01
4,Roquan Smith*+,2TM,25,LB,17,17,3,41,0,19,6,,,,,0,4.5,169,103,66,11,4,,SmitRo07
5,Zaire Franklin,IND,26,LB,17,17,0,0,0,0,6,2,0,0,0,0,3,167,102,65,12,6,,FranZa00
6,Alex Singleton,DEN,29,LB,17,12,0,0,0,0,3,1,0,0,0,0,0,163,101,62,6,3,,SingAl00
7,T.J. Edwards,PHI,26,LB,17,17,0,0,0,0,7,0,0,1,0,0,2,159,99,60,10,5,,EdwaTJ02
8,C.J. Mosley*,NYJ,30,LB,17,17,1,0,0,0,7,0,0,1,0,0,1,158,99,59,5,3,,MoslC.00
9,Bobby Okereke,IND,26,LB,17,16,0,0,0,0,5,2,0,2,0,0,0,151,99,52,6,0,,OkerBo00
10,Jalen Pitre,HOU,23,DB,17,17,5,57,0,29,8,0,1,1,0,0,1,147,99,48,5,1,,PitrJa00
11,Drue Tranquill,LAC,27,LB,17,16,1,20,0,20,4,1,0,0,0,0,5,146,95,51,10,8,,TranDr00
12,Eric Kendricks,MIN,30,LB,17,17,0,0,0,0,6,0,0,1,0,1,1,137,87,50,8,2,,KendEr00
13,Rashaan Evans,ATL,27,LB,17,17,0,0,0,0,4,1,0,2,3,0,2,159,86,73,6,3,,EvanRa01
14,Jordan Hicks,MIN,30,LB,17,17,1,19,0,19,10,1,0,0,0,0,3,129,86,43,2,4,,HickJo00
15,Cody Barton,SEA,26,LB,17,11,2,11,0,10,6,,,,,0,2,136,84,52,4,2,,BartCo00
16,Jonathan Owens,HOU,27,DB,17,17,0,0,0,0,4,,,,,0,1,125,84,41,0,1,,OwenJo01
17,Nicholas Morrow,CHI,27,LB,17,17,1,5,0,5,2,,,,,0,0,116,83,33,11,0,,MorrNi00
18,Logan Wilson,CIN,26,LB,15,15,1,41,0,41,4,1,1,0,0,0,2.5,123,83,40,3,7,,WilsLo00
19,Dre Greenlaw,SFO,25,LB,15,15,1,0,0,0,6,2,0,2,23,1,0,127,82,45,3,0,,GreeDr00
20,Christian Kirksey,HOU,30,LB,17,17,2,18,0,18,5,0,0,1,0,0,3,124,82,42,7,7,,KirkCh00
21,Bobby Wagner,LAR,32,LB,17,17,2,13,0,13,5,,,,,0,6,140,81,59,10,10,,WagnBo00
22,Lavonte David,TAM,32,LB,17,17,0,0,0,0,5,1,0,1,0,0,3,124,80,44,10,3,,DaviLa00
23,Julian Love,NYG,24,S,16,16,2,44,0,27,5,1,0,1,8,0,1,124,79,45,6,1,,LoveJu00
24,Patrick Queen,BAL,23,LB,17,17,2,11,0,11,6,1,0,2,5,0,5,117,79,38,9,14,,QueePa00
25,Jalen Thompson,ARI,24,S,17,17,1,0,0,0,8,0,0,1,0,0,0,110,79,31,1,1,,ThomJa04
26,Fred Warner*+,SFO,26,LB,17,17,1,20,0,20,10,1,0,0,0,0,2,130,79,51,3,6,,WarnFr00
27,Shaq Thompson,CAR,28,LB,17,17,0,0,0,0,4,0,1,1,0,0,0.5,135,78,57,8,3,,ThomSh01
28,Alex Anzalone,DET,28,LB,17,17,1,4,0,4,6,0,0,1,0,0,1.5,125,77,48,7,7,,AnzaAl00
29,Jevon Holland,MIA,22,S,17,17,2,64,0,33,7,1,1,0,0,0,1.5,96,77,19,1,1,,HollJe02
30,Donovan Wilson,DAL,27,S,17,17,1,0,0,0,2,2,0,1,0,0,5,101,77,24,7,9,,WilsDo01
31,Frankie Luvu,CAR,26,LB,15,14,1,33,1,33,4,1,0,0,0,0,7,111,76,35,19,9,,LuvuFr00
32,Budda Baker*,ARI,26,S,15,15,2,54,0,53,7,1,0,0,0,0,0,111,75,36,1,2,,BakeBu00
33,L'Jarius Sneed,KAN,25,CB,17,17,3,57,0,26,11,3,0,1,5,0,3.5,108,75,33,5,5,,SneeLJ00
34,Quay Walker,GNB,22,LB,17,16,0,0,0,0,7,3,0,1,63,0,1.5,121,75,46,5,4,,WalkQu00
35,Quincy Williams,NYJ,26,LB,15,15,0,0,0,0,1,,,,,0,3,106,74,32,12,6,,WillQu01
36,Adrian Amos,GNB,29,S,17,17,1,26,0,26,5,0,0,1,-1,0,1,102,73,29,7,2,,AmosAd00
37,Jaquan Brisker,CHI,23,DB,15,15,1,6,0,6,2,1,0,1,0,0,4,104,73,31,5,4,,BrisJa01
