Rk,Player,Tm,Age,Pos,GP,GS,Pnt_Ret,Pnt_Ret_Yds,Pnt_Ret_TD,Pnt_Ret_Lng,Pnt_Y/R,K_Ret,K_Ret_Yds,K_Ret_TD,K_Ret_Lng,K_Y/R,APYd,-9999
1,Dax Milne,WAS,23,WR,15,1,40,311,0,19,7.8,15,300,0,33,20,648,MilnDa00
2,Ray-Ray McCloud,SFO,26,WR,17,2,33,356,0,35,10.8,26,599,0,39,23,1276,McClRa00
3,Britain Covey,PHI,25,WR,17,0,33,308,0,27,9.3,10,206,0,26,20.6,514,CoveBr00
4,Jaelon Darden,2TM,23,,14,0,33,345,0,24,10.5,3,67,0,25,22.3,440,DardJa00
5,Trent Taylor,CIN,28,WR,16,1,33,340,0,27,10.3,2,15,0,9,7.5,432,TaylTr02
6,Desmond King,HOU,28,DB,17,13,33,309,0,31,9.4,1,50,0,50,50,409,KingDe01
7,Montrell Washington,DEN,23,WR,15,1,32,271,0,30,8.5,18,340,0,29,18.9,643,WashMo00
8,Marcus Jones+,NWE,24,DB,15,4,29,362,1,84,12.5,27,645,0,46,23.9,1172,JoneMa06
9,DeAndre Carter,LAC,29,WR,17,7,29,339,0,28,11.7,26,497,0,33,19.1,1359,CartDe02
10,KaVontae Turpin*,DAL,26,WR,17,0,29,303,0,52,10.4,21,508,0,63,24.2,837,TurpKa00
11,Nyheim Hines,2TM,26,RB,16,5,27,264,0,28,9.8,19,554,2,101,29.2,1103,HineNy00
12,Greg Dortch,ARI,24,WR,16,4,26,172,0,18,6.6,11,218,0,31,19.8,901,DortGr01
13,Jalen Reagor,MIN,23,WR,17,0,26,167,0,25,6.4,,,0,,,307,ReagJa00
14,Jamal Agnew*,JAX,27,WR,15,0,25,205,0,22,8.2,21,547,0,54,26,1025,AgneJa00
15,Brandon Powell,LAR,27,WR,17,6,24,177,0,22,7.4,30,605,0,34,20.2,1018,PoweBr00
16,Richie James,NYG,27,WR,17,4,24,174,0,23,7.3,,,0,,,749,JameRi00
17,Shi Smith,CAR,24,WR,17,6,23,143,0,22,6.2,,,0,,,439,SmitSh03
18,Braxton Berrios,NYJ,27,WR,17,2,21,240,0,22,11.4,26,600,0,42,23.1,1076,BerrBr00
19,Rashid Shaheed,NOR,24,WR,12,6,20,193,0,42,9.7,14,320,0,31,22.9,1058,ShahRa00
20,Amari Rodgers,2TM,23,,16,1,20,139,0,20,7,6,122,0,34,20.3,472,RodgAm00
21,Kalif Raymond,DET,28,WR,17,7,20,264,1,47,13.2,2,65,0,52,32.5,981,RaymKa00
22,Steven Sims,PIT,25,WR,12,2,19,105,0,24,5.5,17,434,0,89,25.5,713,SimsSt00
23,Avery Williams,ATL,24,RB,17,3,18,292,0,56,16.2,16,313,0,30,19.6,775,WillAv02
24,Donovan Peoples-Jones,CLE,23,WR,17,14,18,223,1,76,12.4,,,0,,,1064,PeopDo00
25,Dante Pettis,CHI,27,WR,17,7,18,163,0,27,9.1,,,0,,,445,PettDa00
26,Keke Coutee,IND,25,WR,8,0,17,152,0,19,8.9,,,0,,,172,CoutKe00
27,Devin Duvernay*,BAL,25,WR,14,13,16,190,0,46,11.9,15,383,1,103,25.5,1064,DuveDe00
28,DeeJay Dallas,SEA,24,RB,15,0,14,102,0,20,7.3,12,270,0,30,22.5,731,DallDe00
29,C.J. Board,TEN,29,WR,4,0,14,147,0,19,10.5,4,82,0,22,20.5,235,BoarC.00
30,Skyy Moore,KAN,22,WR,16,3,14,86,0,15,6.1,3,50,0,23,16.7,410,MoorSk01
31,Keelan Cole,LVR,29,WR,14,3,13,79,0,13,6.1,,,0,,,220,ColeKe00
32,Cedrick Wilson Jr.,MIA,27,WR,15,0,13,97,0,15,7.5,,,0,,,241,WilsCe01
33,Keisean Nixon+,GNB,25,CB,17,4,11,140,0,24,12.7,35,1009,1,105,28.8,1150,NixoKe00
34,Hunter Renfrow,LVR,27,WR,10,1,11,74,0,17,6.7,,,0,,,404,RenfHu00
35,Robert Woods,TEN,30,WR,17,15,11,90,0,21,8.2,,,0,,,617,WoodRo02
36,Myles Bryant,NWE,24,DB,17,6,10,56,0,16,5.6,,,0,,,67,BryaMy01
37,Kadarius Toney,2TM,23,WR,9,4,10,61,0,9,6.1,,,0,,,314,ToneKa00
38,Pharoh Cooper,ARI,27,WR,5,1,9,117,0,28,13,12,288,0,33,24,426,CoopPh00
39,Jamison Crowder,BUF,29,WR,4,0,9,100,0,20,11.1,1,17,0,17,17,189,CrowJa00
40,Gunner Olszewski,PIT,26,WR,16,2,8,55,0,20,6.9,3,46,0,27,15.3,193,OlszGu00
41,Demetric Felton,CLE,24,RB,8,2,7,42,0,15,6,1,11,0,11,11,57,FeltDe00
